Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
Andromeda,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.3.2,NA,dplyr,"RSQLite, DBI, zip, methods, dbplyr, tidyselect, cli, pillar",NA,"testthat, knitr, rmarkdown, rlang, tibble, rJava",NA,Apache License 2.0,NA,NA,NA,NA,no,4.2.1
askpass,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.2.0,NA,NA,sys (>= 2.1),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
assertthat,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,4.2.1
backports,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.1.9,NA,R (>= 3.0.0),utils,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.2.1
base64enc,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.2.1
BH,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.72.0-3,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,4.2.1
bit,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,4.0.4,NA,R (>= 2.9.2),NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.2.1
bit64,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,4.0.2,NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.2.1
blob,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.2.1,NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,GPL-3,NA,NA,NA,NA,no,4.2.1
brew,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.0-8,NA,NA,NA,NA,testthat (>= 3.0.0),NA,GPL-2,NA,NA,NA,NA,no,4.2.1
brio,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.1.3,NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
bslib,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.5.1,NA,R (>= 2.10),"base64enc, cachem, grDevices, htmltools (>= 0.5.4), jquerylib
(>= 0.1.3), jsonlite, memoise (>= 2.0.1), mime, rlang, sass (>=
0.4.0)",NA,"bsicons, curl, fontawesome, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (>= 1.6.0), testthat,
thematic, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
cachem,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.0.8,NA,NA,"rlang, fastmap (>= 1.1.1)",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
